Title,Region,Country,Servings
Turkish Eggplant (Aubergine) Lentil Stew,Northern Africa,Moroccan,6
Zucchini Carrot Pancakes,Northern Africa,Moroccan,4-5
Carrots With Paprika and Capers,Northern Africa,Moroccan,8
Moroccan Brown Rice (Rice Cooker),Northern Africa,Moroccan,4
Mediterranean Roasted Vegetable Couscous,Northern Africa,Moroccan,4
Moroccan Shallot Relish,Northern Africa,Moroccan,1 cup
Moroccan Chickpea & Barley Salad,Northern Africa,Moroccan,6-8
Moroccan Spiced Roast Potatoes,Northern Africa,Moroccan,3-4
Moroccan-Spiced Parsnips,Northern Africa,Moroccan,6
Moroccan Seasoned Wedges,Northern Africa,Moroccan,4
Couscous Salad With Broccoli and Raisins,Northern Africa,Moroccan,1 salad
Simple Moroccan Carrot Salad,Northern Africa,Moroccan,2 cups
Moroccan Chickpea Delight,Northern Africa,Moroccan,2-4
Moroccan Beet Salad,Northern Africa,Moroccan,1 salad bowl
Couscous With Chickpeas and Prunes,Northern Africa,Moroccan,6
Roasted Carrots -Memories of Morocco (Ww Core),Northern Africa,Moroccan,4
Epcot's Moroccan Pavilion's Couscous Salad,Northern Africa,Moroccan,4
Morrocan Potato Cakes- Maakouda Batata,Northern Africa,Moroccan,6 cakes
Moroccan Cauliflower With Spices,Northern Africa,Moroccan,4-6
L'ham Lahlou - Algerian - North African Sweet Lamb Dish.,Northern Africa,Moroccan,8 small(ish) servings
Pashtida With a Crust,Northern Africa,Moroccan,12
Orange and Olive Salad,Northern Africa,Moroccan,4-6
Moroccan Couscous,Northern Africa,Moroccan,12
Moroccan Dressing,Northern Africa,Moroccan,4
Couscous With Savory Caramelized Onion,Northern Africa,Moroccan,4-6
Couscous for People Who Hate Couscous,Northern Africa,Moroccan,2
"Red Pepper, Lemon and Mint Couscous",Northern Africa,Moroccan,4
Moroccan Whole Grain Couscous,Northern Africa,Moroccan,6
Mint Couscous With Raisins and Almonds,Northern Africa,Moroccan,4-6
Sweet and Nutty Moroccan Couscous,Northern Africa,Moroccan,6
"Rice With Tomatoes, Avocado & Black Olive",Northern Africa,Moroccan,4
Casablanca Carrots,Northern Africa,Moroccan,4
Couscous With Fresh Cilantro and Lemon Juice,Northern Africa,Moroccan,4-6
Moroccan Vegetables,Northern Africa,Moroccan,4
Moroccan Eggplant With Garbanzo Beans,Northern Africa,Moroccan,4
Moroccan Peas & Eggs,Northern Africa,Moroccan,1-2
Morrocan Couscous With Green Beans,Northern Africa,Moroccan,4
Fassuliah K'dra -- Beans With Saffron (Morocco - North Africa),Northern Africa,Moroccan,6
Moroccan Oven Roasted Sesame Potatoes,Northern Africa,Moroccan,4
Mushroom Couscous With Moroccan Flavors,Northern Africa,Moroccan,4-6
Grilled Green Pepper and Tomato Salad,Northern Africa,Moroccan,4-6
Moroccan Couscous With Raisins,Northern Africa,Moroccan,4
Spicy Citrus Couscous,Northern Africa,Moroccan,2-4
Ras El Hanout Roasted Potatoes,Northern Africa,Moroccan,4
Fried Chickpeas,Northern Africa,Moroccan,8 cups
Moroccan Street Potato Cakes,Northern Africa,Moroccan,16
Couscous With Roasted Vegetables,Northern Africa,Moroccan,6-8
Savory Rice Pilaf With Lavender & Apricots,Northern Africa,Moroccan,4
easy moroccan carrots,Northern Africa,Moroccan,2-4
Moroccan Salad,Northern Africa,Moroccan,6
Couscous and Pomegranate Salad,Northern Africa,Moroccan,2 cups
Cumin Flatbread,Northern Africa,Moroccan,6
Moroccan Zucchini,Northern Africa,Moroccan,4
Couscous Stuffed Bell Peppers for the Barbecue (Vegetarian),Northern Africa,Moroccan,8
Spiced Couscous with Cantaloupe,Northern Africa,Moroccan,6
Pearl Couscous Tagine,Northern Africa,Moroccan,4-6
Warm Chickpea Salad With Ginger,Northern Africa,Moroccan,4
Zaalouk (Spicy Aubergine Salad) - Morocco,Northern Africa,Moroccan,6
Moroccan Lamb Kebabs,Northern Africa,Moroccan,4
Couscous Fruity Salad,Northern Africa,Moroccan,6
Fruity Couscous,Northern Africa,Moroccan,10
My Take Carrot (Zrodia) Slata,Northern Africa,Moroccan,4
Roasted Cauliflower With Ras El Hanout Tahini Sauce,Northern Africa,Moroccan,8 cups
"Roasted Red Peppers With Feta, Capers and Preserved Lemons",Northern Africa,Moroccan,4
Quick Cumin-Rich Tomatoes,Northern Africa,Moroccan,4
Couscous With Moroccan Spices,Northern Africa,Moroccan,8
"Couscous With Dried Apricots, Currants, and Pistachios",Northern Africa,Moroccan,16
Quick and Easy Garlic Sauce,Northern Africa,Moroccan,1
North African-Style Beans,Northern Africa,Moroccan,6
Pumpkin and Split Pea Tagine,Northern Africa,Moroccan,4 bowls
Moroccan Carrots,Northern Africa,Moroccan,4
Moroccan Rice Pilaf With Saffron,Northern Africa,Moroccan,4-8
Moroccan Carrot Salad,Northern Africa,Moroccan,4-6
Moroccan Inspired Baked Potato Slices,Northern Africa,Moroccan,4
Moroccan Turmeric Rice,Northern Africa,Moroccan,3/4 cup
Orange and Olive Salad from Morocco,Northern Africa,Moroccan,4
Moroccan Spiced Potatoes,Northern Africa,Moroccan,4
Fried Baby Carrots,Northern Africa,Moroccan,1 lb. carrots
Orange Scented Couscous,Northern Africa,Moroccan,4-6
North African Desert Grilled Lamb Cutlets,Northern Africa,Moroccan,4
Moroccan Couscous With Chickpeas and Tomatoes,Northern Africa,Moroccan,3-4
Harira (Moroccan Chickpea Soup),Northern Africa,Moroccan,6-8
Burnt Baba Ganoush,Northern Africa,Moroccan,2 cups
Moroccan Squash Salad,Northern Africa,Moroccan,8
Spicy Carrot Salad,Northern Africa,Moroccan,4-6
Egyptian Spiced Carrot Puree,Northern Africa,Moroccan,8
Moroccan Lentil Soup,Northern Africa,Moroccan,8
Moroccan Fekka Cookies (Anise Biscotti),Northern Africa,Moroccan,96 biscotti-cookies
Ras El Hanout,Northern Africa,Moroccan,3 1/2 tablespoons
Moroccan Chicken With Olives,Northern Africa,Moroccan,6
Moroccan Mint Tea,Northern Africa,Moroccan,1
Moroccan Cigars,Northern Africa,Moroccan,4
Moroccan Turkey Tagine,Northern Africa,Moroccan,4
"Fragrant Moroccan Beef, Date, Honey and Prune Tagine - Crock Pot",Northern Africa,Moroccan,6-8
Moroccan-Style Chopped Salad,Northern Africa,Moroccan,4-6
Moroccan Marinade,Northern Africa,Moroccan,4
